Item Label,Image,Author,Submission DateTime,Year,Date,Instance Of Type Label,Longitude,Latitude,Inception,Admin Entity Label,Historic County Label
"Guildhall, Derry",http://commons.wikimedia.org/wiki/Special:FilePath/Northern%20Ireland%20-%20Guild%20Hall%20Shipquay%20Place%20Londonderry%20-%2020151031121243.jpg,Jnoon9145,2018-09-28 09:23:04,2018,28,town hall,-7.31961,54.9975,1890-01-01T00:00:00Z,Derry City and Strabane,County Londonderry
Statue of Robert James McMordie,http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Robert%20McMordie%20Memorial%2C%20Donegall%20Square%2C%20Belfast.jpg,Toddrm,2014-09-23 18:28:54,2014,23,statue,-5.93113,54.5968,1917-01-01T00:00:00Z,Northern Ireland,County Antrim
Railway Viaduct (1) Bleach Green Junction Newtownabbey Co Antrim Bt37,http://commons.wikimedia.org/wiki/Special:FilePath/Bleach%20green%20viaduct%2004.jpg,Richard Robert Ashby,2019-09-24 16:16:19,2019,24,railway viaduct,-5.90225,54.6809,1933-01-01T00:00:00Z,Jordanstown; Whiteabbey,County Antrim
