Item Label,Image,Author,Submission DateTime,Year,Date,Instance Of Type Label,Longitude,Latitude,Inception,Admin Entity Label,Historic County Label
Glenorchy Parish Church,http://commons.wikimedia.org/wiki/Special:FilePath/Glenorchy%20church%20and%20graveyard.jpg,Geograph Update Bot,2017-09-10 17:34:57,2017,10,church building,-4.97108,56.4042,1811-01-01T00:00:00Z,Argyll and Bute,Argyll
St Columba's Cathedral,http://commons.wikimedia.org/wiki/Special:FilePath/St%20Columbas%20Cathedral%2C%20UK.jpg,File Upload Bot (Magnus Manske),2008-09-11 15:24:41,2008,11,cathedral,-5.47883,56.4195,1952-01-01T00:00:00Z,Argyll and Bute; Oban,Argyll
Seton Collegiate Church,http://commons.wikimedia.org/wiki/Special:FilePath/Seton%20Collegiate%20Church%2C%20near%20Tranent%2001.jpg,Mainlymazza,2019-09-25 19:46:50,2019,25,church building,-2.9335505,55.965277,N/A,East Lothian,East Lothian
St Michael and All Angels’ Church,http://commons.wikimedia.org/wiki/Special:FilePath/Helensburgh%20St%20Michael%20and%20All%20Angels%20Church%20Exterior.jpg,AlasdairW,2016-09-26 22:51:36,2016,26,church building,-4.74016,56.005,1868-01-01T00:00:00Z,Argyll and Bute; Helensburgh,Dunbartonshire
"St Vincent Street Church, Glasgow",http://commons.wikimedia.org/wiki/Special:FilePath/StVincentStreetChurchGlasgow.jpg,Verne Equinox,2009-09-07 20:50:12,2009,7,parish church,-4.265475121,55.862252835,1859-01-01T00:00:00Z,Glasgow City,Lanarkshire
Political Martyrs' Monument,http://commons.wikimedia.org/wiki/Special:FilePath/Martyr%27s%20Monument.jpg,GarDav,2017-09-18 16:03:32,2017,18,monument,-3.18584,55.9534,N/A,City of Edinburgh,Midlothian
St Columba's Cathedral,http://commons.wikimedia.org/wiki/Special:FilePath/St%20Columbas%20Cathedral%2C%20UK.jpg,File Upload Bot (Magnus Manske),2008-09-11 15:24:41,2008,11,cathedral,-5.47883,56.4195,1935-01-01T00:00:00Z,Argyll and Bute; Oban,Argyll
"Linlithgow, The Cross, Town House",http://commons.wikimedia.org/wiki/Special:FilePath/Linlithgow%2C%20The%20Cross%2C%20Town%20House%20-%2020170923144559.jpg,Ammienoot,2017-09-27 22:21:14,2017,27,townhouse,-3.60056,55.9774,N/A,West Lothian,West Lothian
Kelvingrove Art Gallery and Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Kelvingrove%20Art%20Gallery%20and%20Museum%20-%20exterior.jpg,Stinglehammer,2017-09-10 23:23:18,2017,10,art museum; local authority museum,-4.290636382,55.868608412,1901-01-01T00:00:00Z,Glasgow City,Lanarkshire
"Cathedral Square, Bridge Of Sighs, Superintendent's House",http://commons.wikimedia.org/wiki/Special:FilePath/Cathedral%20Square%2C%20Bridge%20Of%20Sighs%2C%20Superintendent%27s%20House.jpg,Stinglehammer,2017-09-30 12:19:25,2017,30,caretaker's house,-4.23476,55.8623,N/A,Glasgow City,Lanarkshire
Skipness Castle,http://commons.wikimedia.org/wiki/Special:FilePath/Skipness%20castle%20IW.jpg,Iwoelbern,2007-09-13 21:08:09,2007,13,tower house,-5.3364,55.768,N/A,Argyll and Bute,Argyll
Oxenfoord Castle,http://commons.wikimedia.org/wiki/Special:FilePath/Oxenfoord%20Castle%2001.jpg,Sir Gawain,2014-09-14 07:01:13,2014,14,castle,-2.97944325,55.879470445,N/A,Midlothian,Midlothian
Relief Land,http://commons.wikimedia.org/wiki/Special:FilePath/Relief%20Land%2C%20Inveraray%20-%20view%20from%20N.jpg,ArchHist,2018-09-30 16:25:17,2018,30,building,-5.07352,56.2296,N/A,Argyll and Bute,Argyll
Holyrood Palace,http://commons.wikimedia.org/wiki/Special:FilePath/Palace%20of%20Holyroodhouse%2C%20Edinburgh.jpg,Kim Traynor,2011-09-23 10:10:06,2011,23,palace; official residence; country house,-3.17229,55.9527,N/A,City of Edinburgh,Midlothian
"Tivoli Theatre, Aberdeen",http://commons.wikimedia.org/wiki/Special:FilePath/The%20Tivoil%2C%20Guild%20St%2C%20Aberdeen%2C%20Scotland.JPG,Ragazzi99,2013-09-21 11:03:51,2013,21,theatre,-2.09766,57.1451,1872-01-01T00:00:00Z,Aberdeen City,Aberdeenshire
voco Grand Central Hotel,http://commons.wikimedia.org/wiki/Special:FilePath/Gordon%20Street%2C%20Central%20Station%2C%20Central%20Hotel%2001.jpg,Stinglehammer,2017-09-19 00:29:19,2017,19,railway hotel,-4.25871,55.8597,N/A,Glasgow City,Lanarkshire
Scottish National Gallery of Modern Art,http://commons.wikimedia.org/wiki/Special:FilePath/Modern%20One%2C%20Scottish%20National%20Gallery%20of%20Modern%20Art%2C%20Belford%20Road%2C%20Edinburgh.jpg,Grousebeater2,2018-09-28 22:16:21,2018,28,art museum; national museum,-3.22746,55.9506,1960-01-01T00:00:00Z,City of Edinburgh,Midlothian
Union Bridge,http://commons.wikimedia.org/wiki/Special:FilePath/Union%20Chain%20Bridge%20between%20England%20and%20Scotland%2C%202019.jpg,DeFacto,2020-09-01 20:53:12,2020,1,suspension bridge; road bridge,-2.107210826,55.752491622,1820-01-01T00:00:00Z,Scottish Borders; Horncliffe; Hutton,Berwickshire
"St Margaret of Scotland, Chapel and Convent Wing, Aberdeen",http://commons.wikimedia.org/wiki/Special:FilePath/St%20Margaret%20of%20Scotland%2C%20Chapel%20and%20Convent%20Wing%2C%20Aberdeen.jpg,Watty62,2020-09-23 14:48:39,2020,23,chapel,-2.099895575,57.157490589,N/A,Aberdeen City,Aberdeenshire
Falkirk Old Parish Church,http://commons.wikimedia.org/wiki/Special:FilePath/Falkirk%20Old%20Parish%20Church.jpg,Geograph Update Bot,2017-09-09 21:23:53,2017,9,church building,-3.785833,56.000278,1811-01-01T00:00:00Z,Falkirk,Stirlingshire
Levenford House,http://commons.wikimedia.org/wiki/Special:FilePath/Levenford%20House%2C%20Dumbarton.jpg,Geograph Update Bot,2017-09-12 19:30:41,2017,12,house; library building; mansion,-4.57911,55.9447,N/A,West Dunbartonshire,Dunbartonshire
Belmont House,http://commons.wikimedia.org/wiki/Special:FilePath/Belmont%20House%2C%20Shetland.jpg,Geograph Update Bot,2017-09-11 17:52:27,2017,11,country house,-0.967403,60.6876,1775-01-01T00:00:00Z,Shetland Islands,Shetland Islands
Udny Castle,http://commons.wikimedia.org/wiki/Special:FilePath/Udny%20Castle%2003.jpg,Sagaciousphil,2013-09-08 16:49:47,2013,8,tower house; country house,-2.1973,57.3315,N/A,Aberdeenshire,Aberdeenshire
Birnie Kirk,http://commons.wikimedia.org/wiki/Special:FilePath/Birnie%20Church.jpg,Chh bck,2018-09-21 15:47:11,2018,21,church building,-3.32968,57.6114,1140-01-01T00:00:00Z,Moray,Morayshire
"Kelvinside Hillhead Parish Church, Glasgow",http://commons.wikimedia.org/wiki/Special:FilePath/Kelvinside%20Hillhead%20Parish%20Church.jpg,LornaMCampbell,2017-09-08 20:47:28,2017,8,church building,-4.2932,55.8775,1876-10-08T00:00:00Z,Glasgow City,Lanarkshire
Bede House,http://commons.wikimedia.org/wiki/Special:FilePath/Bede%20House%202010%20a.jpg,Nick,2014-09-05 21:18:58,2014,5,house,-2.10163,57.1676,N/A,Aberdeen City,Aberdeenshire
West Port House,http://commons.wikimedia.org/wiki/Special:FilePath/Linlithgow%2C%20297-299%20High%20Street%2C%20West%20Port%20House.jpg,Ammienoot,2018-09-16 22:09:56,2018,16,architectural structure,-3.60956,55.9757,N/A,West Lothian,West Lothian
"St James Church, Kilmacolm",http://commons.wikimedia.org/wiki/Special:FilePath/St%20Columbas%20Kilmacolm.jpg,File Upload Bot (Magnus Manske),2008-09-25 13:15:04,2008,25,church building,-4.626968873,55.892949217,1903-01-01T00:00:00Z,Inverclyde,Renfrewshire
Anniesland Court,http://commons.wikimedia.org/wiki/Special:FilePath/Anniesland%20court%20%28perspective%20filter%20etc%29.jpg,Ubcule,2023-09-12 20:15:11,2023,12,skyscraper,-4.32511,55.891,1968-01-01T00:00:00Z,Glasgow City,Renfrewshire
Glasgow School of Art,http://commons.wikimedia.org/wiki/Special:FilePath/Glasgow%20School%20of%20Art%20-%20September%202017.jpg,Stinglehammer,2017-09-17 11:02:21,2017,17,university; art school; university museum,-4.263746379,55.866050411,1845-01-01T00:00:00Z,Glasgow City,Lanarkshire
"Edinburgh, 18 Regent Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/18%20Regent%20Terrace%201.jpg,Spillerjzy,2017-09-23 15:41:30,2017,23,terrace house,-3.17629,55.955,N/A,City of Edinburgh,Midlothian
People's Palace,http://commons.wikimedia.org/wiki/Special:FilePath/People%27s%20Palace%20and%20Winter%20Gardens%20in%20Glasgow%20Green.jpg,Mmhkk,2017-09-30 21:47:37,2017,30,museum; greenhouse; tourist attraction; local authority museum,-4.23741624,55.851208554,1898-01-01T00:00:00Z,Glasgow City,Lanarkshire
Scotland Street School Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Scotland%20Street%20School%20infants%20entrance%20DSCN8975.jpg,AlasdairW,2017-09-26 22:45:12,2017,26,museum; school building; education museum,-4.27369,55.8494,1906-01-01T00:00:00Z,Glasgow City,Renfrewshire
"St Michael's Parish Church, Linlithgow",http://commons.wikimedia.org/wiki/Special:FilePath/Linlithgow%2C%20St%20Michael%27s%20Church.jpg,Ammienoot,2018-09-16 22:23:11,2018,16,church building,-3.60033,55.9781,N/A,West Lothian,West Lothian
Mavisbank House,http://commons.wikimedia.org/wiki/Special:FilePath/Mavisbank%20House%20-%20principal%20elevation.jpg,ArchHist,2018-09-01 11:45:15,2018,1,house,-3.137311165,55.873548234,N/A,Midlothian,Midlothian
Dugald Stewart Monument,http://commons.wikimedia.org/wiki/Special:FilePath/Dugald%20Stewart%20Monument%20-%2005.jpg,Kadellar,2014-09-19 11:46:08,2014,19,monument,-3.18448,55.9545,N/A,City of Edinburgh,Midlothian
Dunmore Pineapple,http://commons.wikimedia.org/wiki/Special:FilePath/Dunmore%20Pineapple.jpg,Davidw82,2013-09-01 22:45:58,2013,1,folly; summer house,-3.7867,56.07671,N/A,Falkirk,Stirlingshire
Canongate Tolbooth,http://commons.wikimedia.org/wiki/Special:FilePath/Canongate%20Tolbooth%20at%20Sunset.jpg,GarDav,2017-09-18 16:05:00,2017,18,tolbooth,-3.18,55.9515,N/A,City of Edinburgh,Midlothian
"Kilmaurs, Tour, Dovecot",http://commons.wikimedia.org/wiki/Special:FilePath/Kirkfauld%20dovecote%20at%20Saint%20Maurs-Glencairn%20Church%2C%20Kilmaurs.JPG,Rosser1954,2014-09-24 21:05:34,2014,24,dovecote,-4.52128,55.6336,N/A,East Ayrshire,Ayrshire
"Rhu, Rhu Road Lower, Ardencaple Hotel Including Former Stables",http://commons.wikimedia.org/wiki/Special:FilePath/DSCN3856%20Ardencaple%20Hotel.jpg,AlasdairW,2019-09-16 22:18:24,2019,16,hotel; pub; cottage,-4.76441,56.0135,N/A,Argyll and Bute,Dunbartonshire
Mertoun House,http://commons.wikimedia.org/wiki/Special:FilePath/Mertoun%20House.jpg,Geograph Update Bot,2017-09-10 12:17:33,2017,10,garden; country house,-2.6040158,55.579208214,N/A,Scottish Borders,Berwickshire
Eden Court Theatre,http://commons.wikimedia.org/wiki/Special:FilePath/Eden%20Court%20Theatre%20%284860116209%29.jpg,Rotatebot,2013-09-04 07:48:50,2013,4,theatre,-4.230820485,57.473078523,1976-01-01T00:00:00Z,Inverness; Highland,Inverness-shire
Rosslyn Chapel,http://commons.wikimedia.org/wiki/Special:FilePath/Rosslyn%20Chapel1.jpg,Tallulahbang,2017-09-03 17:40:39,2017,3,Anglican church building,-3.1599,55.8554,1446-01-01T00:00:00Z,Midlothian,Midlothian
McEwan Hall,http://commons.wikimedia.org/wiki/Special:FilePath/DSCN4533%20McEwan%20Hall.jpg,AlasdairW,2019-09-29 22:13:01,2019,29,hall,-3.189676096,55.945314795,1897-01-01T00:00:00Z,City of Edinburgh,Midlothian
Glasgow Central station,http://commons.wikimedia.org/wiki/Special:FilePath/Central%20Station%20from%20The%20Lighthouse%20DSCN8987.jpg,AlasdairW,2017-09-30 21:12:00,2017,30,dead-end railway station; railway station,-4.25822,55.8589,1879-01-01T00:00:00Z,Glasgow City,Lanarkshire
Advocates Library,http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20Advocate%27s%20Library%202.JPG,AlasdairW,2014-09-27 23:23:50,2014,27,law library,-3.19158,55.9489,N/A,Edinburgh,Midlothian
Craigievar Castle,http://commons.wikimedia.org/wiki/Special:FilePath/Craigievar-Castle.jpg,Anaisc30,2017-09-01 12:33:08,2017,1,castle; museum; tower house,-2.718117701,57.174150605,1626-01-01T00:00:00Z,Aberdeenshire,Aberdeenshire
King's Theatre,http://commons.wikimedia.org/wiki/Special:FilePath/King%27s%20Theatre%2C%20Glasgow%2001.jpg,Stinglehammer,2017-09-17 13:30:08,2017,17,theatre,-4.268741269,55.865095597,1904-09-12T00:00:00Z,Glasgow City,Lanarkshire
Stonehaven Tolbooth,http://commons.wikimedia.org/wiki/Special:FilePath/Old%20Tolbooth%20Museum%2C%20Old%20Pier%2C%20Stonehaven.jpg,Panama1958,2019-09-17 20:20:48,2019,17,museum; tolbooth,-2.202173381,56.960761871,N/A,Aberdeenshire; Stonehaven,Kincardineshire
"Bute, Rothesay, Townhead, High Kirk Mausoleum",http://commons.wikimedia.org/wiki/Special:FilePath/High%20Kirk%20Mausoleum%2C%20Rothesay-geograph-5373084.jpg,Geograph Update Bot,2017-09-21 20:55:47,2017,21,mausoleum,-5.05774,55.8287,N/A,Argyll and Bute,Buteshire
"Edinburgh, 17 Carlton Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2017%20Carlton%20Terrace.jpg,Wilmm,2017-09-24 20:20:55,2017,24,terrace house,-3.17469,55.9566,N/A,City of Edinburgh,Midlothian
Barscobe Castle,http://commons.wikimedia.org/wiki/Special:FilePath/Barscobe%20Castle%201.jpg,JMiall,2011-09-12 20:59:33,2011,12,tower house,-4.10226609,55.102003971,N/A,Dumfries and Galloway,Kirkcudbrightshire
Greyfriars Kirk,http://commons.wikimedia.org/wiki/Special:FilePath/Greyfriars%20Kirk%20-%2001.jpg,Kadellar,2014-09-01 16:28:55,2014,1,church building; Scottish civil parish,-3.1922,55.9466,N/A,City of Edinburgh,Midlothian
Old Breachacha Castle,http://commons.wikimedia.org/wiki/Special:FilePath/Breachacha%20Castle%20%28geograph%202419813%29.jpg,File Upload Bot (Magnus Manske),2013-09-09 23:24:20,2013,9,castle; tower house,-6.628,56.5908,1500-01-01T00:00:00Z,Argyll and Bute,Argyll
St Matthew's Church,http://commons.wikimedia.org/wiki/Special:FilePath/St%20Matthew%27s%20Church%20-%20Paisley%20-%20Exterior%20-%20NorthEast.jpg,Colin,2013-09-14 12:54:53,2013,14,church building,-4.42122,55.8423,N/A,Renfrewshire,Renfrewshire
Fearn Abbey,http://commons.wikimedia.org/wiki/Special:FilePath/Fearn%20Abbey%2020090615%20from%20south%20east.jpg,Otter,2009-09-13 08:29:10,2009,13,monastery,-3.956136111,57.770080555,1201-01-01T00:00:00Z,Highland,Ross-shire
Fettes College,http://commons.wikimedia.org/wiki/Special:FilePath/Fettes%20College%20Edinburgh.jpg,Pawel Gieralt,2017-09-30 21:13:44,2017,30,boarding school,-3.22744683,55.96397556,1870-01-01T00:00:00Z,City of Edinburgh,Midlothian
Tower of Hallbar,http://commons.wikimedia.org/wiki/Special:FilePath/HallbarTower5.jpg,Supergolden,2006-09-11 12:06:19,2006,11,castle; tower house,-3.848576482,55.703679176,N/A,South Lanarkshire,Lanarkshire
Craig House,http://commons.wikimedia.org/wiki/Special:FilePath/Old%20Craig%20House%2C%20Craiglockhart%20Edinburgh.jpg,Kim Traynor,2011-09-21 08:45:30,2011,21,building; former hospital,-3.226388146,55.922904273,N/A,City of Edinburgh,Midlothian
"Alva Churchyard, Johnstone Mausoleum",http://commons.wikimedia.org/wiki/Special:FilePath/Alva%20Johnstone%20Mausoleum.jpg,Valerie Forsyth,2020-09-17 10:00:16,2020,17,mausoleum,-3.79231,56.1556,N/A,Clackmannanshire,Clackmannanshire
"Linlithgow, 5 The Cross, Cross House",http://commons.wikimedia.org/wiki/Special:FilePath/Linlithgow%2C%205%20The%20Cross%2C%20Cross%20House%20-%2020170923144533.jpg,Ammienoot,2017-09-27 22:19:51,2017,27,house,-3.60114,55.9773,N/A,West Lothian,West Lothian
Dunfermline City Chambers,http://commons.wikimedia.org/wiki/Special:FilePath/Dunfermline%2C%203%20Bridge%20Street%2C%20City%20Chambers.jpg,Delphine Dallison,2018-09-26 11:44:36,2018,26,town hall,-3.46413,56.0708,N/A,Fife,Fife
Castle Cary Castle,http://commons.wikimedia.org/wiki/Special:FilePath/Castlecary%20Castle.jpg,Geograph Update Bot,2017-09-15 20:57:59,2017,15,tower house; archaeological site,-3.945928411,55.975338166,N/A,Falkirk,Stirlingshire
Gean House,http://commons.wikimedia.org/wiki/Special:FilePath/Gean%20House.jpg,Spikey Island,2008-09-02 18:48:50,2008,2,house,-3.81181,56.1254,N/A,Clackmannanshire,Clackmannanshire
Newton Castle,http://commons.wikimedia.org/wiki/Special:FilePath/Newton%20Castle%20from%20SW.jpg,Odysseus1479,2013-09-09 01:14:01,2013,9,tower house,-3.35041,56.592,N/A,Perth and Kinross; Blairgowrie and Rattray,Perthshire
St Andrew's and St George's West Church,http://commons.wikimedia.org/wiki/Special:FilePath/St%20George%27s%20and%20St%20Andrew%27s%20Church%2C%20Edinburgh.jpg,Hebrides,2021-09-03 19:08:09,2021,3,church building,-3.195888147,55.954123316,N/A,City of Edinburgh,Midlothian
Dalmoak House,http://commons.wikimedia.org/wiki/Special:FilePath/Dalmoak%20House.jpg,Geograph Update Bot,2017-09-15 21:29:28,2017,15,villa,-4.5909,55.9594,1866-01-01T00:00:00Z,West Dunbartonshire,Dunbartonshire
Red Towers,http://commons.wikimedia.org/wiki/Special:FilePath/Red%20Towers%20Helensburgh%20DSCN1959.jpg,AlasdairW,2018-09-22 22:37:29,2018,22,house,-4.72911,56.0149,N/A,Argyll and Bute; Helensburgh,Dunbartonshire
"Cathedral Square, Bridge Of Sighs, Gates And Gate Piers",http://commons.wikimedia.org/wiki/Special:FilePath/Glagow%20Cathedral%20Square%20Gates%20Piers%20by%20Marcok%202018-08-23%20f03.jpg,Marcok,2018-09-21 21:06:36,2018,21,architectural structure,-4.23561,55.8624,N/A,Glasgow City,Lanarkshire
"Hippodrome Cinema, Bo'ness",http://commons.wikimedia.org/wiki/Special:FilePath/Bo%27ness%20Hippodrome.jpg,Kim Traynor,2011-09-18 01:22:52,2011,18,theatre; movie theater,-3.60825,56.01755556,1912-01-01T00:00:00Z,Falkirk; Bo'ness,West Lothian
Royal Museum of Scotland,http://commons.wikimedia.org/wiki/Special:FilePath/National%20Museum%20of%20Scotland%20%28Back%29.jpg,Spillerjzy,2017-09-16 12:53:53,2017,16,museum,-3.189340389,55.94689948,1888-01-01T00:00:00Z,City of Edinburgh,Midlothian
Wemyss Bay railway station,http://commons.wikimedia.org/wiki/Special:FilePath/Wemyss%20Bay%20railway%20station%20concourse%202018-08-25%202.jpg,Colin,2018-09-15 19:17:19,2018,15,railway station; harbour railway station,-4.889426923,55.87608064,N/A,Inverclyde,Renfrewshire
"Edinburgh, 12 Carlton Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2012%20Carlton%20Terrace.jpg,Wilmm,2017-09-24 20:27:46,2017,24,terrace house,-3.17391,55.9566,N/A,City of Edinburgh,Midlothian
Skelmorlie Aisle,http://commons.wikimedia.org/wiki/Special:FilePath/Skelmorlie%20Aisle%2C%20Largs.JPG,Rosser1954,2009-09-06 21:44:54,2009,6,church building,-4.868580555,55.79475,N/A,North Ayrshire,Ayrshire
Pavilion Theatre,http://commons.wikimedia.org/wiki/Special:FilePath/Pavilion%20Theatre.jpg,Stinglehammer,2017-09-16 11:45:47,2017,16,theatre,-4.2557,55.8651,1904-01-01T00:00:00Z,Glasgow City,Lanarkshire
"All Saints' Church, St Andrews",http://commons.wikimedia.org/wiki/Special:FilePath/All%20Saints%20Episcopal%20Church%20%286a6%29.jpg,Alasdaircoles,2017-09-28 10:34:36,2017,28,church building,-2.7911,56.3411,N/A,Fife; St Andrews,Fife
National Monument of Scotland,http://commons.wikimedia.org/wiki/Special:FilePath/National%20Monument%20of%20Scotland%20View%20from%20Above.jpg,Kristijrn,2017-09-20 07:29:30,2017,20,unfinished building; monument,-3.181909277,55.954743422,N/A,City of Edinburgh,Midlothian
"Star House, 25 Kirkgate, Alloa",http://commons.wikimedia.org/wiki/Special:FilePath/LB20955%20Alloa%20Star%20House.jpg,AllyD,2023-09-05 15:06:50,2023,5,building; architectural structure,-3.79311,56.1132,1695-01-01T00:00:00Z,Clackmannanshire,Clackmannanshire
"New Abbey, Monksmill",http://commons.wikimedia.org/wiki/Special:FilePath/New%20Abbey%20Corn%20Mill%20-%20general%20view%20from%20NW.jpg,ArchHist,2018-09-01 13:23:08,2018,1,watermill,-3.62297,54.98,N/A,Dumfries and Galloway,Kirkcudbrightshire
Ferniehirst Castle,http://commons.wikimedia.org/wiki/Special:FilePath/Entering%20Ferniehirst%20Library%20on%20the%20tour.jpg,Victuallers,2018-09-02 17:46:37,2018,2,castle,-2.55124,55.4543,1470-01-01T00:00:00Z,Scottish Borders,Roxburghshire
Prestonfield House,http://commons.wikimedia.org/wiki/Special:FilePath/Prestonfield%20House%20-%20view%20from%20SW.jpg,ArchHist,2018-09-30 17:46:21,2018,30,house; hotel,-3.16659,55.93561,N/A,City of Edinburgh,Midlothian
Haa of Sand,http://commons.wikimedia.org/wiki/Special:FilePath/Haa%20of%20Sand%20%28geograph%205154702%29.jpg,Plucas58,2017-09-01 21:01:19,2017,1,architectural structure,-1.38057,60.207,N/A,Shetland Islands; Sandsting,Shetland Islands
Drill Hall,http://commons.wikimedia.org/wiki/Special:FilePath/Dalmeny%20Street%20Drill%20Hall.jpg,Jonathan Oldenbuck,2011-09-30 14:14:12,2011,30,hall,-3.1742,55.9646,1901-01-01T00:00:00Z,City of Edinburgh,Midlothian
"Aviemore Station, Island Platform",http://commons.wikimedia.org/wiki/Special:FilePath/Aviemore%20Station%20-%20view%20of%20island%20platform.jpg,ArchHist,2018-09-09 18:06:00,2018,9,railway platform,-3.82874,57.1887,N/A,Highland,Inverness-shire
"St Aloysius Church, Glasgow",http://commons.wikimedia.org/wiki/Special:FilePath/St%20Aloysius%20Church%2C%20Glasgow%2001.jpg,Stinglehammer,2017-09-16 12:17:55,2017,16,church building,-4.2618,55.8665,1910-02-06T00:00:00Z,Glasgow City,Lanarkshire
Holmwood House,http://commons.wikimedia.org/wiki/Special:FilePath/Holmwood.jpg,File Upload Bot (Magnus Manske),2011-09-07 17:57:50,2011,7,villa; country house,-4.259357744,55.809734561,1858-01-01T00:00:00Z,Glasgow City,Renfrewshire
Reid Memorial Church,http://commons.wikimedia.org/wiki/Special:FilePath/Reid%20Memorial%20Church%2003.JPG,Jamesx12345,2014-09-26 17:00:06,2014,26,church building,-3.1847,55.9265,1935-01-01T00:00:00Z,City of Edinburgh,Midlothian
Catholic Apostolic Church,http://commons.wikimedia.org/wiki/Special:FilePath/Ceiling%20mural%20at%20Mansfield%20Traquair%20Centre.jpg,Ammienoot,2017-09-28 23:06:43,2017,28,church building,-3.19047,55.9597,N/A,City of Edinburgh,Midlothian
House of Dun,http://commons.wikimedia.org/wiki/Special:FilePath/House%20of%20Dun%20-%20geograph.org.uk%20-%201690926.jpg,Geograph Update Bot,2017-09-09 18:55:59,2017,9,country house,-2.540404,56.729303,N/A,Angus,Angus
St George's-Tron Church,http://commons.wikimedia.org/wiki/Special:FilePath/163%20Buchanan%20Street%2C%20St%20George%27s%20Tron%20Parish%20Church.jpg,Stinglehammer,2017-09-11 23:09:08,2017,11,church building,-4.25397,55.862,1808-01-01T00:00:00Z,Glasgow City,Lanarkshire
Dean Cemetery,http://commons.wikimedia.org/wiki/Special:FilePath/The%20south-west%20section%20of%20Dean%20Cemetery.JPG,Stephencdickson,2014-09-07 11:26:46,2014,7,cemetery,-3.2225039,55.953026,N/A,City of Edinburgh,Midlothian
Edinburgh College of Art,http://commons.wikimedia.org/wiki/Special:FilePath/3W6A4986.jpg,EugenStoica,2019-09-13 23:08:23,2019,13,art school; production company,-3.19964,55.9458,1760-01-01T00:00:00Z,City of Edinburgh,Midlothian
"38–44 High Street, Linlithgow",http://commons.wikimedia.org/wiki/Special:FilePath/Linlithgow%2042%2C%2044%20High%20Street.jpg,Stinglehammer,2018-09-30 01:06:54,2018,30,tenement,-3.59766,55.9769,N/A,West Lothian,West Lothian
"Helensburgh, 17 Colquhoun Street Upper, Drumadoon Private Nursing Home",http://commons.wikimedia.org/wiki/Special:FilePath/DSCN6226%20Morar%20House%20Helensburgh.jpg,AlasdairW,2020-09-05 11:18:12,2020,5,architectural structure,-4.72947,56.0174,N/A,Argyll and Bute; Helensburgh,Dunbartonshire
Alexander's School,http://commons.wikimedia.org/wiki/Special:FilePath/Former%20Alexanders%20Public%20School%20%28geograph%201663146%29.jpg,Plucas58,2017-09-01 10:36:03,2017,1,building,-4.235451369,55.859557643,N/A,Glasgow City,Lanarkshire
Pollok House,http://commons.wikimedia.org/wiki/Special:FilePath/Pollok%20House%2C%20Glasgow.jpg,LornaMCampbell,2017-09-28 23:18:11,2017,28,art museum; house museum,-4.31851,55.828,N/A,Glasgow City,Renfrewshire
Dunkeld Cathedral,http://commons.wikimedia.org/wiki/Special:FilePath/Dunkel%20Cathedral%2020090617%20choir%20exterior.jpg,Otter,2009-09-25 17:19:29,2009,25,cathedral,-3.589915483,56.565129753,1260-01-01T00:00:00Z,Perth and Kinross,Perthshire
Lerwick Town Hall,http://commons.wikimedia.org/wiki/Special:FilePath/Lerwick%20Town%20Hall%20%281%29.jpg,FlickreviewR,2011-09-20 19:18:36,2011,20,town hall,-1.14644,60.1545,N/A,Shetland Islands,Shetland Islands
Cowane's Hospital,http://commons.wikimedia.org/wiki/Special:FilePath/Cowane%27s%20Hospital%2C%202003.JPG,Elisa.rolle,2013-09-05 11:23:25,2013,5,almshouse,-3.94505,56.1205,N/A,Stirling,Stirlingshire
Castle of Park,http://commons.wikimedia.org/wiki/Special:FilePath/Castle%20of%20Park%20Glenluce%20exterior.JPG,John of Reading,2010-09-29 13:47:23,2010,29,tower house,-4.82555,54.876,N/A,Dumfries and Galloway,Wigtownshire
Castle of Mey,http://commons.wikimedia.org/wiki/Special:FilePath/Mey%20castle%202.JPG,Eowyn Cwper,2014-09-02 16:19:29,2014,2,castle; house museum,-3.22448247,58.647032416,1566-01-01T00:00:00Z,Highland,Caithness
Bedlay Castle,http://commons.wikimedia.org/wiki/Special:FilePath/Bedlayplan.png,Supergolden,2006-09-04 14:37:23,2006,4,castle; tower house,-4.093945708,55.905778803,N/A,North Lanarkshire,Lanarkshire
Union Bridge,http://commons.wikimedia.org/wiki/Special:FilePath/Union%20Chain%20Bridge%20between%20England%20and%20Scotland%2C%202019.jpg,DeFacto,2020-09-01 20:53:12,2020,1,suspension bridge; road bridge,-2.107210826,55.752491622,1820-01-01T00:00:00Z,Scottish Borders; Horncliffe; Hutton,Northumberland
Merchiston Tower,http://commons.wikimedia.org/wiki/Special:FilePath/Merchiston%20Tower%2C%20Edinburgh.jpg,Kim Traynor,2011-09-21 08:18:37,2011,21,castle,-3.21391,55.9333,1454-01-01T00:00:00Z,City of Edinburgh,Midlothian
