Item Label,Image,Author,Submission DateTime,Year,Date,Instance Of Type Label,Longitude,Latitude,Inception,Admin Entity Label,Historic County Label
Knockando Woolmill,http://commons.wikimedia.org/wiki/Special:FilePath/Open%20space%20around%20the%20buildings%20of%20Knockando%20Woollen%20Mill%20%28geograph%205543176%29.jpg,Plucas58,2017-09-28 12:50:56,2017,28,watermill,-3.35542,57.4661,N/A,Moray,Morayshire
"681 Alexandra Parade, St Andrew's East Church",http://commons.wikimedia.org/wiki/Special:FilePath/St%20Andrews%20East%20Church.jpg,CraigIW,2013-09-09 15:20:28,2013,9,church building,-4.208583,55.863111,N/A,Glasgow City,Lanarkshire
"Edinburgh, 23 Elm Row",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2023%20Elm%20Row.jpg,Wilmm,2017-09-24 16:54:15,2017,24,pub,-3.18301,55.959,N/A,City of Edinburgh,Midlothian
"Crow Road, Anniesland Court (linking Terrace With Mall Below)",http://commons.wikimedia.org/wiki/Special:FilePath/Anniesland%20Court%20from%20Crow%20Road.JPG,AlasdairW,2015-09-23 22:59:06,2015,23,high-rise building,-4.32515,55.8909,N/A,Glasgow City,Renfrewshire
"Edinburgh, 14-16 Gardner's Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%2014-16%20Gardner%27s%20Crescent%20-%2020170911190617.jpg,Ammienoot,2017-09-13 19:48:30,2017,13,architectural structure,-3.20959,55.9453,N/A,City of Edinburgh,Midlothian
"Edinburgh, 23a, 23b George Square",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%2C%2023a%2C%2023b%20George%20Square.jpg,Stinglehammer,2017-09-28 22:26:52,2017,28,architectural structure,-3.19055,55.9434,N/A,City of Edinburgh,Midlothian
Craigmin Bridge,http://commons.wikimedia.org/wiki/Special:FilePath/Craigmin%20Bridge%20%28geograph%205229829%29.jpg,Plucas58,2017-09-28 13:20:19,2017,28,road bridge; stone arch bridge; two-tier bridge,-2.93807,57.6456,1700-01-01T00:00:00Z,Moray,Banffshire
"140, 142 St Vincent Street, Royal Bank Building",http://commons.wikimedia.org/wiki/Special:FilePath/140%2C%20142%20St%20Vincent%20Street%2C%20Glasgow.jpg,Stinglehammer,2018-09-09 18:59:13,2018,9,building,-4.25852,55.8619,N/A,Glasgow City,Lanarkshire
Dunkeld Bridge,http://commons.wikimedia.org/wiki/Special:FilePath/Dunkeld%20Bridge.jpg,Ammienoot,2018-09-04 07:07:58,2018,4,road bridge,-3.58525,56.563944,1809-01-01T00:00:00Z,Perth and Kinross,Perthshire
"Edinburgh, 3-4 Gardner's Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%203-4%20Gardner%27s%20Crescent%20-%2020170911190915.jpg,Ammienoot,2017-09-13 19:52:13,2017,13,architectural structure,-3.21034,55.9457,N/A,City of Edinburgh,Midlothian
"Crow Road, Anniesland Court (linking Terrace With Mall Below)",http://commons.wikimedia.org/wiki/Special:FilePath/Anniesland%20Court%20from%20Crow%20Road.JPG,AlasdairW,2015-09-23 22:59:06,2015,23,high-rise building,-4.32508,55.8908,N/A,Glasgow City,Renfrewshire
"Edinburgh, 5-7 Gardner's Crescent",http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20-%20Edinburgh%2C%205-7%20Gardner%27s%20Crescent%20-%2020170911190740.jpg,Ammienoot,2017-09-13 19:51:12,2017,13,architectural structure,-3.21024,55.9455,N/A,City of Edinburgh,Midlothian
